!Player coord x = 4
!Player coord y = 13
!Cell size = 1
!Number of segments = 328
!Winning point x = 129
!Winning point y = 11
1 1 1 63 1
1 63 197 63 1
197 63 197 1 1
1 1 197 1 1
8 3 10 3 4
11 3 13 3 4
28 3 29 3 4
46 3 47 3 4
60 3 61 3 4
92 3 93 3 4
97 3 98 3 4
28 4 29 4 4
46 4 47 4 4
60 4 61 4 4
92 4 93 4 4
97 4 98 4 4
61 3.5 92 3.5 1
7 4 8 4 4
10 4 11 4 4
13 4 14 4 4
7 5 8 5 4
13 5 14 5 4
29 5 30 5 4
38 5 39 5 4
43 5 44 5 4
8 6 10 6 4
11 6 13 6 4
43 6 44 6 4
40 5.5 42 5.5 1
28 6 29 6 4
39 6 42 6 4
46 6 47 6 4
53 6 54 6 4
60 6 61 6 4
10 7 11 7 4
28 7 30 7 4
38 7 42 7 4
46 7 47 7 4
53 7 54 7 4
60 7 61 7 4
42 6.5 46 6.5 1
14 9 15 9 4
19 9 20 9 4
22 9 23 9 4
28 9 29 9 4
46 9 47 9 4
65 9 66 9 4
92 9 93 9 4
97 9 98 9 4
14 10 15 10 4
19 10 20 10 4
22 10 23 10 4
28 10 29 10 4
46 10 47 10 4
65 10 66 10 4
92 10 93 10 4
97 10 98 10 4
1 9.5 14 9.5 1
15 9.5 19 9.5 1
23 9.5 28 9.5 1
66 9.5 92 9.5 1
98 9.5 137 9.5 1
28 11 29 11 4
28 12 29 12 4
14 12 15 12 4
53 12 54 12 4
14 13 15 13 4
53 13 54 13 4
47 12.5 53 12.5 1
62 13 63 13 4
62 14 63 14 4
63 13.5 130 13.5 1
14 15 15 15 4
28 15 29 15 4
36 15 37 15 4
39 15 40 15 4
46 15 47 15 4
14 16 15 16 4
28 16 29 16 4
36 16 37 16 4
39 16 40 16 4
46 16 47 16 4
29 15.5 36 15.5 1
40 15.5 46 15.5 1
14 18 15 18 4
19 18 20 18 4
22 18 23 18 4
28 18 29 18 4
39 18 40 18 4
42 18 43 18 4
62 18 63 18 4
14 19 15 19 4
19 19 20 19 4
22 19 23 19 4
28 19 29 19 4
39 19 40 19 4
42 19 43 19 4
62 19 63 19 4
1 18.5 14 18.5 1
15 18.5 19 18.5 1
23 18.5 28 18.5 1
43 18.5 62 18.5 1
28 21 29 21 4
39 21 40 21 4
59 21 60 21 4
62 21 63 21 4
28 22 29 22 4
39 22 40 22 4
59 22 60 22 4
62 22 63 22 4
29 21.5 39 21.5 1
40 21.5 59 21.5 1
7 4 7 5 4
8 3 8 4 4
8 5 8 6 4
10 3 10 4 4
10 6 10 7 4
11 6 11 7 4
11 3 11 4 4
13 3 13 4 4
13 5 13 6 4
14 4 14 5 4
14 9 14 10 4
14 12 14 13 4
14 15 14 16 4
14 18 14 19 4
15 9 15 10 4
15 12 15 13 4
15 15 15 16 4
15 18 15 19 4
14.5 10 14.5 12 1
14.5 16 14.5 18 1
19 9 19 10 4
19 18 19 19 4
20 9 20 10 4
20 18 20 19 4
22 9 22 10 4
22 18 22 19 4
23 9 23 10 4
23 18 23 19 4
28 3 28 4 4
28 6 28 7 4
28 9 28 10 4
28 11 28 12 4
28 15 28 16 4
28 18 28 19 4
28 21 28 22 4
29 3 29 4 4
29 9 29 10 4
29 11 29 12 4
29 15 29 16 4
29 18 29 19 4
29 21 29 22 4
28.5 1 28.5 3 1
28.5 7 28.5 9 1
28.5 10 28.5 11 1
28.5 16 28.5 18 1
29 5 29 6 4
30 5 30 7 4
36 15 36 16 4
37 15 37 16 4
38 5 38 7 4
39 5 39 6 4
39 15 39 16 4
39 18 39 19 4
39 21 39 22 4
40 15 40 16 4
40 18 40 19 4
40 21 40 22 4
39.5 10 39.5 15 1
39.5 16 39.5 18 1
42 6 42 7 4
42 18 42 19 4
43 18 43 19 4
43 5 43 6 4
44 5 44 6 4
46 3 46 4 4
46 6 46 7 4
46 9 46 10 4
46 15 46 16 4
47 3 47 4 4
47 6 47 7 4
47 9 47 10 4
47 15 47 16 4
46.5 4 46.5 6 1
46.5 7 46.5 9 1
53 6 53 7 4
53 12 53 13 4
54 6 54 7 4
54 12 54 13 4
53.5 7 53.5 12 1
53.5 13 53.5 16 1
59 21 59 22 4
60 21 60 22 4
59.5 22 59.5 23 1
60 3 60 4 4
60 6 60 7 4
61 3 61 4 4
61 6 61 7 4
62 13 62 14 4
62 18 62 19 4
62 21 62 22 4
63 13 63 14 4
63 18 63 19 4
63 21 63 22 4
62.5 14 62.5 18 1
62.5 19 62.5 21 1
62.5 22 62.5 23 1
65 9 65 10 4
66 9 66 10 4
92 3 92 4 4
92 9 92 10 4
93 3 93 4 4
93 9 93 10 4
92.5 4 92.5 9 1
97 3 97 4 4
97 9 97 10 4
98 3 98 4 4
98 9 98 10 4
97.5 1 97.5 3 1
97.5 4 97.5 9 1
53.333333333333336 3 53.666666666666664 3 8
53 3.3333333333333335 53 3.6666666666666665 8
53.333333333333336 4 53.666666666666664 4 8
54 3.3333333333333335 54 3.6666666666666665 8
53.333333333333336 3 53 3.3333333333333335 8
53 3.6666666666666665 53.333333333333336 4 8
53.666666666666664 4 54 3.6666666666666665 8
53.666666666666664 3 54 3.3333333333333335 8
32 4 31 5 0
32 4 33 5 0
36 4 35 5 0
36 4 37 5 0
41 4 40 5 0
41 4 42 5 0
44 4 45 5 0
46 4 45 5 0
31 5 30 6 0
33 5 34 6 0
35 5 34 6 0
37 5 38 6 0
40 5 39 6 0
42 5 43 6 0
45 5 44 6 0
45 5 46 6 0
54 6 55 7 0
61 6 62 7 0
55 7 56 8 0
62 7 63 8 0
56 8 57 9 0
63 8 64 9 0
95 8 94 9 0
95 8 96 9 0
39.333333333333336 9 39.666666666666664 9 8
39 9.333333333333334 39 9.666666666666666 8
39.333333333333336 10 39.666666666666664 10 8
40 9.333333333333334 40 9.666666666666666 8
39.333333333333336 9 39 9.333333333333334 8
39 9.666666666666666 39.333333333333336 10 8
39.666666666666664 10 40 9.666666666666666 8
39.666666666666664 9 40 9.333333333333334 8
57 9 58 10 0
64 9 65 10 0
94 9 93 10 0
96 9 97 10 0
58 10 59 11 0
17.333333333333332 11 17.666666666666668 11 8
17 11.333333333333334 17 11.666666666666666 8
17.333333333333332 12 17.666666666666668 12 8
18 11.333333333333334 18 11.666666666666666 8
17.333333333333332 11 17 11.333333333333334 8
17 11.666666666666666 17.333333333333332 12 8
17.666666666666668 12 18 11.666666666666666 8
17.666666666666668 11 18 11.333333333333334 8
21.333333333333332 11 21.666666666666668 11 8
21 11.333333333333334 21 11.666666666666666 8
21.333333333333332 12 21.666666666666668 12 8
22 11.333333333333334 22 11.666666666666666 8
21.333333333333332 11 21 11.333333333333334 8
21 11.666666666666666 21.333333333333332 12 8
21.666666666666668 12 22 11.666666666666666 8
21.666666666666668 11 22 11.333333333333334 8
25.333333333333332 11 25.666666666666668 11 8
25 11.333333333333334 25 11.666666666666666 8
25.333333333333332 12 25.666666666666668 12 8
26 11.333333333333334 26 11.666666666666666 8
25.333333333333332 11 25 11.333333333333334 8
25 11.666666666666666 25.333333333333332 12 8
25.666666666666668 12 26 11.666666666666666 8
25.666666666666668 11 26 11.333333333333334 8
59 11 60 12 0
13 12 14 13 0
46.333333333333336 12 46.666666666666664 12 8
46 12.333333333333334 46 12.666666666666666 8
46.333333333333336 13 46.666666666666664 13 8
47 12.333333333333334 47 12.666666666666666 8
46.333333333333336 12 46 12.333333333333334 8
46 12.666666666666666 46.333333333333336 13 8
46.666666666666664 13 47 12.666666666666666 8
46.666666666666664 12 47 12.333333333333334 8
60 12 61 13 0
61 13 62 14 0
36 14 37 15 0
14 15 13 16 0
17.333333333333332 16 17.666666666666668 16 8
17 16.333333333333332 17 16.666666666666668 8
17.333333333333332 17 17.666666666666668 17 8
18 16.333333333333332 18 16.666666666666668 8
17.333333333333332 16 17 16.333333333333332 8
17 16.666666666666668 17.333333333333332 17 8
17.666666666666668 17 18 16.666666666666668 8
17.666666666666668 16 18 16.333333333333332 8
21.333333333333332 16 21.666666666666668 16 8
21 16.333333333333332 21 16.666666666666668 8
21.333333333333332 17 21.666666666666668 17 8
22 16.333333333333332 22 16.666666666666668 8
21.333333333333332 16 21 16.333333333333332 8
21 16.666666666666668 21.333333333333332 17 8
21.666666666666668 17 22 16.666666666666668 8
21.666666666666668 16 22 16.333333333333332 8
25.333333333333332 16 25.666666666666668 16 8
25 16.333333333333332 25 16.666666666666668 8
25.333333333333332 17 25.666666666666668 17 8
26 16.333333333333332 26 16.666666666666668 8
25.333333333333332 16 25 16.333333333333332 8
25 16.666666666666668 25.333333333333332 17 8
25.666666666666668 17 26 16.666666666666668 8
25.666666666666668 16 26 16.333333333333332 8
